question,answer
Who is at risk for Urinary Tract Infection In Adults? ?,"Although everyone has some risk, some people are more prone to getting UTIs than others. People with spinal cord injuries or other nerve damage around the bladder have difficulty emptying their bladder completely, allowing bacteria to grow in the urine that stays in the bladder. Anyone with an abnormality of the urinary tract that obstructs the flow of urinea kidney stone or enlarged prostate, for exampleis at risk for a UTI. People with diabetes or problems with the bodys natural defense system are more likely to get UTIs.
                
Sexual activity can move microbes from the bowel or vaginal cavity to the urethral opening. If these microbes have special characteristics that allow them to live in the urinary tract, it is harder for the body to remove them quickly enough to prevent infection. Following sexual intercourse, most women have a significant number of bacteria in their urine, but the body normally clears them within 24 hours. However, some forms of birth control increase the risk of UTI. In some women, certain spermicides may irritate the skin, increasing the risk of bacteria invading surrounding tissues. Using a diaphragm may slow urinary flow and allow bacteria to multiply. Condom use is also associated with increased risk of UTIs, possibly because of the increased trauma that occurs to the vagina during sexual activity. Using spermicides with diaphragms and condoms can increase risk even further.
                
Another common source of infection is catheters, or tubes, placed in the urethra and bladder. Catheters interfere with the bodys ability to clear microbes from the urinary tract. Bacteria travel through or around the catheter and establish a place where they can thrive within the bladder. A person who cannot urinate in the normal way or who is unconscious or critically ill often needs a catheter for more than a few days. The Infectious Diseases Society of America recommends using catheters for the shortest time possible to reduce the risk of a UTI.3
                
Recurrent Infections
                
Many women suffer from frequent UTIs. About 20 percent of young women with a first UTI will have a recurrent infection.4 With each UTI, the risk that a woman will continue having recurrent UTIs increases.5 Some women have three or more UTIs a year. However, very few women will have frequent infections throughout their lives. More typically, a woman will have a period of 1 or 2 years with frequent infections, after which recurring infections cease.
                
Men are less likely than women to have a first UTI. But once a man has a UTI, he is likely to have another because bacteria can hide deep inside prostate tissue. Anyone who has diabetes or a problem that makes it hard to urinate may have repeat infections.
                
Research funded by the National Institutes of Health (NIH) suggests that one factor behind recurrent UTIs may be the ability of bacteria to attach to cells lining the urinary tract. One NIH-funded study found that bacteria formed a protective film on the inner lining of the bladder in mice.6 If a similar process can be demonstrated in humans, the discovery may lead to new treatments to prevent recurrent UTIs. Another line of research has indicated that women who are nonsecretors of certain blood group antigens may be more prone to recurrent UTIs because the cells lining the vagina and urethra may allow bacteria to attach more easily. A nonsecretor is a person with an A, B, or AB blood type who does not secrete the normal antigens for that blood type in bodily fluids, such as fluids that line the bladder wall.7
                
Infections during Pregnancy
                
Pregnant women seem no more prone to UTIs than other women. However, when a UTI does occur in a pregnant woman, it is more likely to travel to the kidneys. According to some reports, about 4 to 5 percent of pregnant women develop a UTI.8 Scientists think that hormonal changes and shifts in the position of the urinary tract during pregnancy make it easier for bacteria to travel up the ureters to the kidneys and cause infection. For this reason, health care providers routinely screen pregnant women for bacteria in the urine during the first 3 months of pregnancy."
What are the symptoms of Urinary Tract Infection In Adults ?,"Symptoms of a UTI vary by age, gender, and whether a catheter is present. Among young women, UTI symptoms typically include a frequent and intense urge to urinate and a painful, burning feeling in the bladder or urethra during urination. The amount of urine may be very small. Older women and men are more likely to be tired, shaky, and weak and have muscle aches and abdominal pain. Urine may look cloudy, dark, or bloody or have a foul smell. In a person with a catheter, the only symptom may be fever that cannot be attributed to any other cause. Normally, UTIs do not cause fever if they are in the bladder. A fever may mean the infection has reached the kidneys or has penetrated the prostate. Other symptoms of a kidney infection include pain in the back or side below the ribs, nausea, and vomiting."
How to diagnose Urinary Tract Infection In Adults ?,"To find out whether a person has a UTI, the health care provider will ask about urinary symptoms and then test a sample of urine for the presence of bacteria and white blood cells, which are produced by the body to fight infection. Because bacteria can be found in the urine of healthy individuals, a UTI is diagnosed based both on symptoms and a laboratory test. The person will be asked to give a clean catch urine sample by washing the genital area and collecting a midstream sample of urine in a sterile container. This method of collecting urine helps prevent bacteria around the genital area from getting into the sample and confusing the test results. Usually, the sample is sent to a laboratory, although some health care providers offices are equipped to do the testing. For people with recurring infections and patients in the hospital, the urine may be cultured. The culture is performed by placing part of the urine sample in a tube or dish with a substance that encourages any bacteria present to grow. Once the bacteria have multiplied, which usually takes 1 to 3 days, they can be identified. The health care provider may also order a sensitivity test, which tests the bacteria for sensitivity to different antibiotics to see which medication is best for treating the infection.
                
If a person has recurrent UTIs, the health care provider may order some additional tests to determine if the persons urinary tract is normal.
                
Kidney and bladder ultrasound. Ultrasound uses a device, called a transducer, that bounces safe, painless sound waves off organs to create an image of their structure. The procedure is performed in a health care providers office, outpatient center, or hospital by a specially trained technician, and the images are interpreted by a radiologista doctor who specializes in medical imaging; anesthesia is not needed. The images can show abnormalities in the kidneys and bladder. However, this test cannot reveal all important urinary abnormalities or measure how well the kidneys work.
                
Voiding cystourethrogram. This test is an x-ray image of the bladder and urethra taken while the bladder is full and during urination, also called voiding. As the person lies on the x-ray table, a health care provider inserts the tip of a thin, flexible tube called a catheter through the urethra into the bladder. The bladder and urethra are filled with a special dye called contrast medium, to make the structures clearly visible on the x-ray images. The x rays are taken from various angles while the bladder is full of contrast medium. The catheter is then removed and x-ray images are taken during urination. The procedure is performed in a health care providers office, outpatient center, or hospital by an x-ray technician. The technician is supervised by a radiologist while the images are taken. The radiologist then interprets the images. Anesthesia is not needed, but light sedation may be used for some people. This test can show abnormalities of the inside of the urethra and bladder. The test can also determine whether the flow of urine is normal when the bladder empties.
                
Computerized tomography (CT) scan. CT scans use a combination of x rays and computer technology to create three-dimensional (3-D) images. A CT scan may include the injection of contrast medium. CT scans require the person to lie on a table that slides into a tunnel-shaped device where the x rays are taken. The procedure is performed in an outpatient center or hospital by an x-ray technician, and the images are interpreted by a radiologist; anesthesia is not needed. CT scans can provide clearer, more detailed images to help the health care provider understand the problem.
                
Magnetic resonance imaging (MRI). MRI machines use radio waves and magnets to produce detailed pictures of the bodys internal organs and soft tissues without using x rays. An MRI may include an injection of contrast medium. With most MRI machines, the person lies on a table that slides into a tunnel-shaped device that may be open ended or closed at one end; some newer machines are designed to allow the person to lie in a more open space. The procedure is performed in an outpatient center or hospital by a specially trained technician, and the images are interpreted by a radiologist; anesthesia is not needed though light sedation may be used for people with a fear of confined spaces. Like CT scans, MRIs can provide clearer, more detailed images.
                
Radionuclide scan. A radionuclide scan is an imaging technique that relies on the detection of small amounts of radiation after injection of radioactive chemicals. Because the dose of the radioactive chemicals is small, the risk of causing damage to cells is low. Special cameras and computers are used to create images of the radioactive chemicals as they pass through the kidneys. Radionuclide scans are performed in a health care providers office, outpatient center, or hospital by a specially trained technician, and the images are interpreted by a radiologist; anesthesia is not needed. Radioactive chemicals injected into the blood can provide information about kidney function. Radioactive chemicals can also be put into the fluids used to fill the bladder and urethra for x ray, MRI, and CT imaging.
                
Urodynamics. Urodynamic testing is any procedure that looks at how well the bladder, sphincters, and urethra are storing and releasing urine. Most of these tests are performed in the office of a urologista doctor who specializes in urinary problemsby a urologist, physician assistant, or nurse practitioner. Some procedures may require light sedation to keep a person calm. Most urodynamic tests focus on the bladders ability to hold urine and empty steadily and completely. Urodynamic tests can also show whether the bladder is having abnormal contractions that cause leakage. A health care provider may order these tests if there is evidence that the person has some kind of nerve damage.
                
Cystoscopy. Cystoscopy is a procedure that uses a tubelike instrument to look inside the urethra and bladder. Cystoscopy is performed by a doctor in a health care providers office, outpatient facility, or hospital with local anesthesia. However, in some cases, sedation and regional or general anesthesia are needed. Cystoscopy may be used to look for swelling, redness, and other signs of infection."
What are the treatments for Urinary Tract Infection In Adults ?,"Most UTIs are caused by bacteria, which are treated with bacteria-fighting medications called antibiotics or antimicrobials. The choice of medication and length of treatment depend on the patients history and the type of bacteria causing the infection. Some antibiotics may be ruled out if a person has allergies to them. The sensitivity test takes 48 hours to complete and is especially useful in helping the health care provider select the antibiotic most likely to be effective in treating an infection. Longer treatment may be needed if the first antibiotic given is not effective.
                
When a UTI occurs in a healthy person with a normal, unobstructed urinary tract, the term uncomplicated is used to describe the infection. Most young women who have UTIs have uncomplicated UTIs, which can be cured with 2 or 3 days of treatment. Single-dose treatment is less effective. Longer treatment causes more side effects and is not more effective. A follow-up urinalysis helps to confirm the urinary tract is infection-free. Taking the full course of treatment is important because symptoms may disappear before the infection is fully cleared.
                
Complicated UTIs occur when a personfor example, a pregnant woman or a transplant patientis weakened by another condition. A UTI is also complicated when the person has a structural or functional abnormality of the urinary tract, such as an obstructive kidney stone or prostate enlargement that squeezes the urethra. Health care providers should assume that men and boys have a complicated UTI until proven otherwise.
                
Severely ill patients with kidney infections may be hospitalized until they can take fluids and needed medications on their own. Kidney infections may require several weeks of antibiotic treatment. Kidney infections in adults rarely lead to kidney damage or kidney failure unless they go untreated or are associated with urinary tract obstruction.
                
Bladder infections are generally self-limiting, but antibiotic treatment significantly shortens the duration of symptoms. People usually feel better within a day or two of treatment. Symptoms of kidney and prostate infections last longer. Drinking lots of fluids and urinating frequently will speed healing. If needed, various medications are available to relieve the pain of a UTI. A heating pad on the back or abdomen may also help.
                
Recurrent Infections in Women
                
Health care providers may advise women who have recurrent UTIs to try one of the following treatment options:
                
- Take low doses of the prescribed antibiotic daily for 6 months or longer. If taken at bedtime, the medication remains in the bladder longer and may be more effective. NIH-supported research has shown this therapy to be effective without causing serious side effects.  - Take a single dose of an antibiotic after sexual intercourse.  - Take a short course2 or 3 daysof an antibiotic when symptoms appear.
                
To try to prevent an infection, health care providers may suggest women
                
- drink plenty of water every day  - urinate when the need arises and avoid resisting the urge to urinate  - urinate after sexual intercourse  - switch to a different method of birth control if recurring UTIs are a problem
                
Infections during Pregnancy
                
During pregnancy, bacterial infection of the urineeven in the absence of symptomscan pose risks to both the mother and the baby. Some antibiotics are not safe to take during pregnancy. In selecting the best treatments, health care providers consider various factors such as the medications effectiveness, the stage of pregnancy, the mothers health, and potential effects on the fetus.
                
Complicated Infections
                
Curing infections that stem from a urinary obstruction or other systemic disorder depends on finding and correcting the underlying problem, sometimes with surgery. If the root cause goes untreated, this group of patients is at risk for kidney damage. Also, such infections tend to arise from a wider range of bacteria and sometimes from more than one type of bacteria at a time.
                
Infections in Men
                
Urinary tract infections in men are often the result of an obstructionfor example, a urinary stone or enlarged prostateor are from a catheter used during a medical procedure. The first step in treating such an infection is to identify the infecting organism and the medications to which it is sensitive.
                
Prostate infectionschronic bacterial prostatitisare harder to cure because antibiotics may be unable to penetrate infected prostate tissue effectively. For this reason, men with bacterial prostatitis often need long-term treatment with a carefully selected antibiotic. UTIs in men are frequently associated with acute bacterial prostatitis, which can be life threatening if not treated urgently."
How to prevent Urinary Tract Infection In Adults ?,"Changing some daily habits may help a person prevent recurrent UTIs.
                
Eating, Diet, and Nutrition
                
Drinking lots of fluid can help flush bacteria from the system. Water is best. Most people should try for six to eight, 8-ounce glasses a day. Talk with your health care provider if you cant drink the recommended amount due to other health problems, such as urinary incontinence, urinary frequency, or kidney failure.
                
Urination Habits
                
A person should urinate often and when the urge arises. Bacteria can grow when urine stays in the bladder too long. Women and men should urinate shortly after sex to flush away bacteria that might have entered the urethra during sex. Drinking a glass of water will also help flush bacteria away.
                
After using the toilet, women should wipe from front to back. This step is most important after a bowel movement to keep bacteria from getting into the urethra.
                
Clothing
                
Cotton underwear and loose-fitting clothes should be worn, so air can keep the area around the urethra dry. Tight-fitting jeans and nylon underwear should be avoided because they can trap moisture and help bacteria grow.
                
Birth Control
                
For women, using a diaphragm or spermicide for birth control can lead to UTIs by increasing bacteria growth. A woman who has trouble with UTIs should try switching to a new form of birth control. Unlubricated condoms or spermicidal condoms increase irritation, which may help bacteria grow. Switching to lubricated condoms without spermicide or using a nonspermicidal lubricant may help prevent UTIs."
What to do for Urinary Tract Infection In Adults ?,"- Most urinary tract infections (UTIs) arise from one type of bacteria, Escherichia coli (E. coli), which normally lives in the bowel.  - Symptoms of a UTI in adults may include the following:      - a frequent and intense urge to urinate    - a painful, burning feeling in the bladder or urethra during urination    - feeling tired, shaky, and weak    - muscle aches    - abdominal pain    - only small amounts of urine passed, despite a strong urge to urinate    - cloudy, dark, or bloody urine or urine that has a foul smell    - pain in the back or side below the ribs    - nausea and vomiting    - Fever may indicate a kidney or prostate infection.  - Because bacteria can be found in the urine of healthy individuals, a UTI is diagnosed based both on symptoms and a laboratory test.  - UTIs are treated with bacteria-fighting medications called antibiotics or antimicrobials."
What is (are) Diagnosis of Diabetes and Prediabetes ?,"Diabetes is a complex group of diseases with a variety of causes. People with diabetes have high blood glucose, also called high blood sugar or hyperglycemia.
                
Diabetes is a disorder of metabolismthe way the body uses digested food for energy. The digestive tract breaks down carbohydratessugars and starches found in many foodsinto glucose, a form of sugar that enters the bloodstream. With the help of the hormone insulin, cells throughout the body absorb glucose and use it for energy. Insulin is made in the pancreas, an organ located behind the stomach. As the blood glucose level rises after a meal, the pancreas is triggered to release insulin. Within the pancreas, clusters of cells called islets contain beta cells, which make the insulin and release it into the blood.
                
Diabetes develops when the body doesnt make enough insulin or is not able to use insulin effectively, or both. As a result, glucose builds up in the blood instead of being absorbed by cells in the body. The bodys cells are then starved of energy despite high blood glucose levels.
                
Over time, high blood glucose damages nerves and blood vessels, leading to complications such as heart disease, stroke, kidney disease, blindness, dental disease, and amputations. Other complications of diabetes may include increased susceptibility to other diseases, loss of mobility with aging, depression, and pregnancy problems.
                
Main Types of Diabetes
                
The three main types of diabetes are type 1, type 2, and gestational diabetes:
                
- Type 1 diabetes, formerly called juvenile diabetes, is usually first diagnosed in children, teenagers, and young adults. In this type of diabetes, the beta cells of the pancreas no longer make insulin because the bodys immune system has attacked and destroyed them.  - Type 2 diabetes, formerly called adult-onset diabetes, is the most common type of diabetes. About 90 to 95 percent of people with diabetes have type 2.1 People can develop type 2 diabetes at any age, even during childhood, but this type of diabetes is most often associated with older age. Type 2 diabetes is also associated with excess weight, physical inactivity, family history of diabetes, previous history of gestational diabetes, and certain ethnicities.   Type 2 diabetes usually begins with insulin resistance, a condition linked to excess weight in which muscle, liver, and fat cells do not use insulin properly. As a result, the body needs more insulin to help glucose enter cells to be used for energy. At first, the pancreas keeps up with the added demand by producing more insulin. But in time, the pancreas loses its ability to produce enough insulin in response to meals, and blood glucose levels rise.  - Gestational diabetes is a type of diabetes that develops only during pregnancy.  The hormones produced during pregnancy increase the amount of insulin needed to control blood glucose levels. If the body cant meet this increased need for insulin, women can develop gestational diabetes during the late stages of pregnancy.  Gestational diabetes usually goes away after the baby is born. Shortly after pregnancy, 5 to 10 percent of women with gestational diabetes continue to have high blood glucose levels and are diagnosed as having diabetes, usually type 2.1 Research has shown that lifestyle changes and the diabetes medication, metformin, can reduce or delay the risk of type 2 diabetes in these women. Babies born to mothers who had gestational diabetes are also more likely to develop obesity and type 2 diabetes as they grow up.  More information about gestational diabetes is provided in the NIDDK health topic, What I need to know about Gestational Diabetes,or by calling 18008608747.
                
Other Types of Diabetes
                
Many other types of diabetes exist, and a person can exhibit characteristics of more than one type. For example, in latent autoimmune diabetes in adults, people show signs of both type 1 and type 2 diabetes. Other types of diabetes include those caused by genetic defects, diseases of the pancreas, excess amounts of certain hormones resulting from some medical conditions, medications that reduce insulin action, chemicals that destroy beta cells, infections, rare autoimmune disorders, and genetic syndromes associated with diabetes.
                
More information about other types of diabetes is provided in the NIDDK health topic, Causes of Diabetes, or by calling 18008608747."
What is (are) Diagnosis of Diabetes and Prediabetes ?,"Prediabetes is when blood glucose levels are higher than normal but not high enough for a diagnosis of diabetes. Prediabetes means a person is at increased risk for developing type 2 diabetes, as well as for heart disease and stroke. Many people with prediabetes develop type 2 diabetes within 10 years.
                
However, modest weight loss and moderate physical activity can help people with prediabetes delay or prevent type 2 diabetes."
How to diagnose Diagnosis of Diabetes and Prediabetes ?,"Blood tests are used to diagnosis diabetes and prediabetes because early in the disease type 2 diabetes may have no symptoms. All diabetes blood tests involve drawing blood at a health care providers office or commercial facility and sending the sample to a lab for analysis. Lab analysis of blood is needed to ensure test results are accurate. Glucose measuring devices used in a health care providers office, such as finger-stick devices, are not accurate enough for diagnosis but may be used as a quick indicator of high blood glucose.
                
Testing enables health care providers to find and treat diabetes before complications occur and to find and treat prediabetes, which can delay or prevent type 2 diabetes from developing.
                
Any one of the following tests can be used for diagnosis:*
                
- an A1C test, also called the hemoglobin A1c, HbA1c, or glycohemoglobin test  - a fasting plasma glucose (FPG) test  - an oral glucose tolerance test (OGTT)
                
*Not all tests are recommended for diagnosing all types of diabetes. See the individual test descriptions for details.
                
Another blood test, the random plasma glucose (RPG) test, is sometimes used to diagnose diabetes during a regular health checkup. If the RPG measures 200 milligrams per deciliter or above, and the individual also shows symptoms of diabetes, then a health care provider may diagnose diabetes.
                
Symptoms of diabetes include
                
- increased urination  - increased thirst  - unexplained weight loss
                
Other symptoms can include fatigue, blurred vision, increased hunger, and sores that do not heal.
                
Any test used to diagnose diabetes requires confirmation with a second measurement unless clear symptoms of diabetes exist.
                
The following table provides the blood test levels for diagnosis of diabetes for nonpregnant adults and diagnosis of prediabetes.
                
A1C Test
                
The A1C test is used to detect type 2 diabetes and prediabetes but is not recommended for diagnosis of type 1 diabetes or gestational diabetes. The A1C test is a blood test that reflects the average of a persons blood glucose levels over the past 3 months and does not show daily fluctuations. The A1C test is more convenient for patients than the traditional glucose tests because it does not require fasting and can be performed at any time of the day.
                
The A1C test result is reported as a percentage. The higher the percentage, the higher a persons blood glucose levels have been. A normal A1C level is below 5.7 percent.
                
An A1C of 5.7 to 6.4 percent indicates prediabetes. People diagnosed with prediabetes may be retested in 1 year. People with an A1C below 5.7 percent maystill be at risk for diabetes, depending on the presence of other characteristics that put them at risk, also known as risk factors. People with an A1C above 6.0 percent should be considered at very high risk of developing diabetes. A level of 6.5 percent or above means a person has diabetes.
                
Laboratory analysis. When the A1C test is used for diagnosis, the blood sample must be sent to a laboratory using a method that is certified by the NGSP to ensure the results are standardized. Blood samples analyzed in a health care providers office, known as point-of-care tests, are not standardized for diagnosing diabetes.
                
Abnormal results. The A1C test can be unreliable for diagnosing or monitoring diabetes in people with certain conditions known to interfere with the results. Interference should be suspected when A1C results seem very different from the results of a blood glucose test. People of African, Mediterranean, or Southeast Asian descent or people with family members with sickle cell anemia or a thalassemia are particularly at risk of interference.
                
However, not all of the A1C tests are unreliable for people with these diseases. The NGSP provides information about which A1C tests are appropriate to use for specific types of interference and details on any problems with the A1C test at www.ngsp.org.
                
False A1C test results may also occur in people with other problems that affect their blood or hemoglobin such as chronic kidney disease, liver disease, or anemia.
                
More information about limitations of the A1C test and different forms of sickle cell anemia is provided in the NIDDK health topic, For People of African, Mediterranean, or Southeast Asian Heritage: Important Information about Diabetes Blood Tests, or by calling 18008608747.
                
Changes in Diagnostic Testing
                
In the past, the A1C test was used to monitor blood glucose levels but not for diagnosis. The A1C test has now been standardized, and in 2009, an international expert committee recommended it be used for diagnosis of type 2 diabetes and prediabetes.2
                
More information about the A1C test is provided in the NIDDK health topic, The A1C Test and Diabetes, or by calling 18008608747.
                
Fasting Plasma Glucose Test
                
The FPG test is used to detect diabetes and prediabetes. The FPG test has been the most common test used for diagnosing diabetes because it is more convenient than the OGTT and less expensive. The FPG test measures blood glucose in a person who has fasted for at least 8 hours and is most reliable when given in the morning.
                
People with a fasting glucose level of 100 to 125 mg/dL have impaired fasting glucose (IFG), or prediabetes. A level of 126 mg/dL or above, confirmed by repeating the test on another day, means a person has diabetes.
                
Oral Glucose Tolerance Test
                
The OGTT can be used to diagnose diabetes, prediabetes, and gestational diabetes. Research has shown that the OGTT is more sensitive than the FPG test, but it is less convenient to administer. When used to test for diabetes or prediabetes, the OGTT measures blood glucose after a person fasts for at least 8 hours and 2 hours after the person drinks a liquid containing 75 grams of glucose dissolved in water.
                
If the 2-hour blood glucose level is between 140 and 199 mg/dL, the person has a type of prediabetes called impaired glucose tolerance (IGT). If confirmed by a second test, a 2-hour glucose level of 200 mg/dL or above means a person has diabetes."
How to diagnose Diagnosis of Diabetes and Prediabetes ?,"Health care providers test for gestational diabetes using the OGTT. Women may be tested during their first visit to the health care provider after becoming pregnant or between 24 to 28 weeks of pregnancy depending on their risk factors and symptoms. Women found to have diabetes at the first visit to the health care provider after becoming pregnant may be diagnosed with type 2 diabetes.
                
Defining Safe Blood Glucose Levels for Pregnancy
                
Many studies have shown that gestational diabetes can cause complications for the mother and baby. An international, multicenter study, the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study, showed that the higher a pregnant womans blood glucose is, the higher her risk of pregnancy complications. The HAPO researchers found that pregnancy complications can occur at blood glucose levels that were once considered to be normal.
                
Based on the results of the HAPO study, new guidelines for diagnosis of gestational diabetes were recommended by the International Association of the Diabetes and Pregnancy Study Groups in 2011. So far, the new guidelines have been adopted by the American Diabetes Association (ADA)3 but not by the American College of Obstetricians and Gynecologists (ACOG)4 or other medical organizations. Researchers estimate these new guidelines, if widely adopted, will increase the proportion of pregnant women diagnosed with gestational diabetes to nearly 18 percent.5
                
Both ADA and ACOG guidelines for using the OGTT in diagnosing gestational diabetes are shown in the following tables.
                
Recommendations for Testing Pregnant Women for Diabetes
                
Time of testing    ACOG    ADA        At first visit during pregnancy    No recommendation    Test women with risk factors for diabetes using standard testing for diagnosis of type 2 diabetes.  Women found to have diabetes at this time should be diagnosed with type 2 diabetes, not gestational diabetes.        At 24 to 28 weeks of pregnancy    Test women for diabetes based on their history, risk factors, or a 50-gram, 1-hour, nonfasting, glucose challenge testa modified OGTT.  If score is 130140 mg/dL, test again with fasting, 100-gram, 3-hour OGTT.*    Test all women for diabetes who are not already diagnosed, using a fasting, 75-gram, 2-hour OGTT.*
                

                
OGTT Levels for Diagnosis of Gestational Diabetes
                
Time of Sample Collection    ACOG Levels**,4 (mg/dL)    ADA Levels3(mg/dL)        100-gram Glucose Drink    75-gram Glucose Drink        Fasting, before drinking glucose    95 or above    92 or above        1 hour after drinking glucose    180 or above    180 or above        2 hours after drinking glucose    155 or above    153 or above        3 hours after drinking glucose    140 or above    Not used        Requirements for Diagnosis    TWO or more of the above levels must be met    ONE or more of the above levels must be met
                

                

                

                
More information about treating gestational diabetes is provided in the NIDDK health topic, What I need to know about Gestational Diabetes, or by calling 18008608747."
How to prevent Diagnosis of Diabetes and Prediabetes ?,"A major research study, the Diabetes Prevention Program (DPP), proved that people with prediabetes were able to sharply reduce their risk of developing diabetes during the study by losing 5 to 7 percent of their body weight through dietary changes and increased physical activity.
                
Study participants followed a low-fat, low-calorie diet and engaged in regular physical activity, such as walking briskly five times a week for 30 minutes. These strategies worked well for both men and women in all racial and ethnic groups, but were especially effective for participants age 60 and older. A follow-up study, the Diabetes Prevention Program Outcomes Study (DPPOS), showed losing weight and being physically active provide lasting results. Ten years after the DPP, modest weight loss delayed onset of type 2 diabetes by an average of 4 years.
                
The diabetes medication metformin also lowers the risk of type 2 diabetes in people with prediabetes, especially those who are younger and heavier and women who have had gestational diabetes. The DPPOS showed that metformin delayed type 2 diabetes by 2 years. People at high risk should ask their health care provider if they should take metformin to prevent type 2 diabetes. Metformin is a medication that makes insulin work better and can reduce the risk of type 2 diabetes.
                
More information about insulin resistance, the DPP, or how to lower risk for type 2 diabetes is provided in the NIDDK health topics:
                
- Am I at Risk for Type 2 Diabetes?  - Diabetes Prevention Program (DPP)  - Insulin Resistance and Prediabetes
                
Additional information about the DPP, funded under NIH clinical trial number NCT00004992, and the DPPOS, funded under NIH clinical trial number NCT00038727, can be found at www.bsc.gwu.edu/dpp.
                
As part of its Small Steps, Big Rewards campaign, the National Diabetes Education Program (NDEP) offers several booklets about preventing type 2 diabetes, including information about setting goals, tracking progress, implementing a walking program, and finding additional resources. These materials are available at www.ndep.nih.gov or by calling the NDEP at 1888693NDEP (18886936337)."
What are the treatments for Diagnosis of Diabetes and Prediabetes ?,"People can manage their diabetes with meal planning, physical activity, and if needed, medications. More information about taking care of type 1 or type 2 diabetes is provided in the NIDDK health topics:
                
- What I need to know about Diabetes Medicines  - What I need to know about Eating and Diabetes  - Your Guide to Diabetes: Type 1 and Type 2
                
These NDIC publications are available at http://www.niddk.nih.gov/health-information/health-topics/Diabetes/Pages/default.aspx or by calling 18008608747."
What to do for Diagnosis of Diabetes and Prediabetes ?,"- Tests used for diagnosing diabetes and prediabetes include the A1C testfor type 2 diabetes and prediabetesthe fasting plasma glucose (FPG) test, and the oral glucose tolerance test (OGTT). Another blood test, the random plasma glucose (RPG) test, is sometimes used to diagnose diabetes when symptoms are present during a regular health checkup.  - Anyone age 45 or older should consider getting tested for diabetes or prediabetes. People younger than 45 should consider testing if they are overweight or obese and have one or more additional risk factors for diabetes.  - If results of testing are normal, testing should be repeated at least every 3 years. Health care providers may recommend more frequent testing depending on initial results and risk status.  - People whose test results indicate they have prediabetes may be tested again in 1 year and should take steps to prevent or delay type 2 diabetes.  - Many people with prediabetes develop type 2 diabetes within 10 years.  - Modest weight loss and moderate physical activity can help people with prediabetes delay or prevent type 2 diabetes."
What is (are) Mntriers Disease ?,"Mntriers disease causes the ridges along the inside of the stomach wallcalled rugaeto enlarge, forming giant folds in the stomach lining. The rugae enlarge because of an overgrowth of mucous cells in the stomach wall.
                
In a normal stomach, mucous cells in the rugae release protein-containing mucus. The mucous cells in enlarged rugae release too much mucus, causing proteins to leak from the blood into the stomach. This shortage of protein in the blood is known as hypoproteinemia. Mntriers disease also reduces the number of acid-producing cells in the stomach, which decreases stomach acid.
                
Mntriers disease is also called Mntrier disease or hypoproteinemic hypertrophic gastropathy."
What causes Mntriers Disease ?,"Scientists are unsure about what causes Mntriers disease; however, researchers think that most people acquire, rather than inherit, the disease. In extremely rare cases, siblings have developed Mntriers disease as children, suggesting a genetic link.
                
Studies suggest that people with Mntriers disease have stomachs that make abnormally high amounts of a protein called transforming growth factor-alpha (TGF-).
                
TGF- binds to and activates a receptor called epidermal growth factor receptor. Growth factors are proteins in the body that tell cells what to do, such as grow larger, change shape, or divide to make more cells. Researchers have not yet found a cause for the overproduction of TGF-.
                
Some studies have found cases of people with Mntriers disease who also had Helicobacter pylori (H. pylori) infection. H. pylori is a bacterium that is a cause of peptic ulcers, or sores on the lining of the stomach or the duodenum, the first part of the small intestine. In these cases, treatment for H. pylori reversed and improved the symptoms of Mntriers disease.1
                
Researchers have linked some cases of Mntriers disease in children to infection with cytomegalovirus (CMV). CMV is one of the herpes viruses. This group of viruses includes the herpes simplex viruses, which cause chickenpox, shingles, and infectious mononucleosis, also known as mono. Most healthy children and adults infected with CMV have no symptoms and may not even know they have an infection. However, in people with a weakened immune system, CMV can cause serious disease, such as retinitis, which can lead to blindness.
                
Researchers are not sure how H. pylori and CMV infections contribute to the development of Mntriers disease."
Who is at risk for Mntriers Disease? ?,Mntriers disease is rare. The disease is more common in men than in women. The average age at diagnosis is 55.2
What are the symptoms of Mntriers Disease ?,"The most common symptom of Mntriers disease is pain in the upper middle part of the abdomen. The abdomen is the area between the chest and hips.
                
Other signs and symptoms of Mntriers disease may include
                
- nausea and frequent vomiting  - diarrhea  - loss of appetite  - extreme weight loss  - malnutrition  - low levels of protein in the blood  - swelling of the face, abdomen, limbs, and feet due to low levels of protein in the blood  - anemiatoo few red blood cells in the body, which prevents the body from getting enough oxygendue to bleeding in the stomach
                
People with Mntriers disease have a higher chance of developing stomach cancer, also called gastric cancer."
